phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,收,2040,聲,捕也。从攴丩聲。,式州切,syuw,書三尤平,identical_fanqie,kjuw,*s-kiw,mc_match,*k-riw,single_reading,O2,"pre,ini",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,觓,2824,聲,角皃。从角丩聲。《詩》曰：“兕觵其觓。”,渠幽切,gjiw,羣開三A幽平,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,朻,3574,聲,高木也。从木丩聲。,吉虯切,kjiw,見開三A幽平,initial+rhyme+tone,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,㽱,4684,聲,腹中急也。从疒丩聲。,古巧切,kaewX,見開二肴上,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丩,True,相糾繚也。一曰瓜瓠結丩起。象形。凡丩之屬皆从丩。,居虯切,虯,8853,聲,龍子有角者。从虫丩聲。,渠幽切,gjiw,羣開三A幽平,identical_fanqie,kjuw,,not_in_bs,*k-riw,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,仲,4944,亦聲,中也。从人从中，中亦聲。,直衆切,drjuwngH,澄三東去,initial_only,trjuwng,*N-truŋ-s,mc_match,*truŋ,mc_match,R,"pre,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,𦬕,351,聲,艸也。从艸中聲。,陟宮切,trjuwng,知三東平,initial+rhyme+tone,trjuwng,,not_in_bs,*truŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,盅,3142,聲,器虛也。从皿中聲。《老子》曰：“道盅而用之。”,直弓切,drjuwng,澄三東平,identical_fanqie,trjuwng,,not_in_bs,*truŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,衷,5304,聲,裏䙝衣。从衣中聲。《春秋傳》曰：“皆衷其衵服。”,陟弓切,trjuwng,知三東平,identical_fanqie,trjuwng,,not_in_bs,*truŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,忠,6680,聲,敬也。从心中聲。,陟弓切,trjuwng,知三東平,identical_fanqie,trjuwng,*truŋ,mc_match,*truŋ,mc_match,I,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
中,True,内也。从口。丨，上下通。,陟弓切,忡,6898,聲,憂也。从心中聲。《詩》曰：“憂心忡忡。”,敕中切,trhjuwng,徹三東平,identical_fanqie,trjuwng,*tʰruŋ,mc_match,*truŋ,mc_match,O,ini,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丶,True,有所絕止，丶而識之也。凡丶之屬皆从丶。,知庾切,主,3168,亦聲,鐙中火主也。从纹，象形。从丶，丶亦聲。,之庾切,tsyuX,章合三虞上,identical_fanqie,trjuX,*toʔ,mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
予,True,推予也。象相予之形。凡予之屬皆从予。,余呂切,舒,2501,亦聲,伸也。从舍从予，予亦聲。一曰舒，緩也。,傷魚切,syo,書開三魚平,identical_fanqie,yoX,*l̥a,mc_match,*laʔ,mc_match,O,"ini,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
