sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
3024,𤯌,和也。从甘从麻。麻，調也。甘亦聲。讀若函。,True,,,樂也从甘甘匹耦也,0.36,low,not_aligned
3028,𣆑,告也。从曰从冊，冊亦聲。,True,,,告也从册曰,0.62,low,not_aligned
3041,可,𦘫也。从口丂，丂亦聲。凡可之屬皆从可。,True,,,肎也从口亦聲也凡可之属皆从可,0.74,medium,not_aligned
3055,𠮱,驚語也。从口从亏，亏亦聲。,True,True,亏,驚語也从口从亏亏亦聲,1.0,high,both
3060,憙,說也。从心从喜，喜亦聲。,True,True,喜,恱也从心喜喜亦聲,0.8,high,both
3078,愷,康也。从心、豈，豈亦聲。,True,,,恱也从心喜喜亦聲,0.57,low,not_aligned
3092,𧈚,器也。从䖒、㿾，㿾亦聲。闕。,True,,,器也从皿弓聲,0.57,low,not_aligned
3155,𧗁,气液也。从血𦘔聲。,False,True,□,气液也从血□□亦聲,0.8,high,xiaoxu_only
3168,主,鐙中火主也。从纹，象形。从丶，丶亦聲。,True,True,丨,鐙中火主也从象形从丨丨亦聲,0.8,high,both
3169,咅,相與語，唾而不受也。从丶从否，否亦聲。,True,True,否,相與語唾而不受也从否从丨否亦聲,0.86,high,both
3172,彤,丹飾也。从丹从彡。彡，其畫也。,False,True,彡,丹飾也从丹彡彡其畫彡亦聲,0.82,high,xiaoxu_only
3177,阱,陷也。从𨸏从井，井亦聲。,True,,,,0,none,not_aligned
3178,㓝,罰辠也。从井从刀。《易》曰：“井，法也。”井亦聲。,True,,,,0,none,not_aligned
3218,饗,鄉人飲酒也。从食从鄉，鄉亦聲。,True,,,隻反滫飯也从食聲,0.42,low,not_aligned
3246,餽,吳人謂祭曰餽。从食从鬼，鬼亦聲。,True,,,反呉人謂祭曰餽从食鬼鬼亦聲矩遂反祭酹也从食叕聲誅稅,0.56,low,not_aligned
3261,䢈,日月合宿从辰。从會从辰，辰亦聲。,True,,,,0,none,not_aligned
